invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,,,,,,,,,,,,
I100008,C199951,Male,65,Clothing,5,1500.4,Cash,10-07-22,Emaar Square Mall,7502,,1.Shopping distribution accroding to gender,,,,7.Which age group generated more revenue,,,9.Payment method relative to other columns,,,
I100014,C138893,Male,55,Cosmetics,5,203.3,Cash,18-06-21,Viaport Outlet,1016.5,,,,,,,,,,,,
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,04-03-21,Mall of Istanbul,1200.32,,Row Labels,Sum of quantity,,,Row Labels,Sum of revenue,,Sum of revenue,Column Labels,,
I100024,C244411,Female,67,Books,3,45.45,Credit Card,05-01-23,Emaar Square Mall,136.35,,Female,1853,,,22,68194.34,,Row Labels,Female,Male,Grand Total
I100027,C150002,Female,19,Technology,4,4200,Cash,18-05-22,Mall of Istanbul,16800,,Male,1128,,,26,72262.68,,Cash,679474.93,361764.55,1041239.48
I100028,C325553,Female,18,Clothing,1,300.08,Credit Card,19-06-21,Metrocity,300.08,,Grand Total,2981,,,40,87527.7,,Credit Card,427479.96,342792.64,770272.6
I100031,C378408,Male,18,Food & Beverage,3,15.69,Credit Card,23-06-22,Emaar Square Mall,47.07,,,,,,45,75568.78,,Debit Card,301926.22,251929.47,553855.69
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,19-10-21,Zorlu Center,83.68,,2.Which gender bought more products,,,,47,68621.11,,Grand Total,1408881.11,956486.66,2365367.77
I100037,C122873,Female,63,Clothing,1,300.08,Debit Card,06-06-21,Kanyon,300.08,,,,,,57,66132.68,,,,,
I100041,C326923,Female,50,Cosmetics,3,121.98,Cash,24-07-22,Mall of Istanbul,365.94,,Row Labels,Sum of quantity,,,60,85164.58,,10.Distribution of payment method,,,
I100049,C297871,Male,39,Shoes,1,600.17,Debit Card,26-12-21,Mall of Istanbul,600.17,,Female,62%,,,63,75075.78,,,,,
I100053,C217294,Female,21,Cosmetics,3,121.98,Credit Card,02-01-23,Metrocity,365.94,,Male,38%,,,65,73242.87,,Row Labels,Count of invoice_no,,
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,13-10-21,Forum Istanbul,1200.32,,Grand Total,100%,,,66,67483.06,,Cash,420,,
I100059,C292544,Female,52,Souvenir,3,35.19,Debit Card,14-06-21,Metrocity,105.57,,,,,,Grand Total,739273.58,,Credit Card,366,,
I100068,C647308,Female,52,Toys,2,71.68,Credit Card,13-08-21,Metropol AVM,143.36,,3.Which gender generated  more revenue,,,,,,,Debit Card,214,,
I100071,C522050,Female,30,Clothing,3,900.24,Cash,16-10-21,Mall of Istanbul,2700.72,,,,,,,,,Grand Total,1000,,
I100072,C143773,Male,64,Technology,5,5250,Debit Card,10-08-21,Metropol AVM,26250,,Row Labels,Sum of revenue,,,,,,,,,
I100077,C356550,Male,46,Food & Beverage,1,5.23,Credit Card,03-02-21,Emaar Square Mall,5.23,,Female,1408881,,,,,,,,,
I100078,C272831,Male,46,Books,5,75.75,Credit Card,10-07-21,Mall of Istanbul,378.75,,Male,956487,,,,,,,,,
I100080,C696236,Male,55,Toys,4,143.36,Credit Card,26-04-22,Metropol AVM,573.44,,Grand Total,2365368,,,,,,,,,
I100082,C357288,Female,44,Souvenir,2,23.46,Cash,31-12-21,Cevahir AVM,46.92,,,,,,,,,,,,
I100084,C226369,Female,68,Shoes,2,1200.34,Credit Card,09-10-22,Kanyon,2400.68,,4.Distribution of purchase categories relative to other columns ,,,,,,,,,,
I100089,C123196,Female,63,Clothing,5,1500.4,Cash,27-03-22,Emaar Square Mall,7502,,,,,,,,,,,,
I100090,C801451,Female,27,Shoes,4,2400.68,Credit Card,17-04-21,Metrocity,9602.72,,Sum of quantity,Column Labels,,,,,,,,,
I100094,C246470,Female,68,Toys,2,71.68,Cash,18-12-21,Metropol AVM,143.36,,Row Labels,Books,Clothing,Cosmetics,Food & Beverage,Shoes,Souvenir,Technology,Toys,Grand Total,
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-11-21,Istinye Park,1200.32,,Female,112,612,305,216,178,145,73,212,1853,
I100097,C673123,Female,63,Food & Beverage,4,20.92,Credit Card,24-08-22,Mall of Istanbul,83.68,,Male,84,365,168,142,134,68,55,112,1128,
I100098,C228071,Male,49,Clothing,5,1500.4,Cash,16-11-21,Cevahir AVM,7502,,Grand Total,196,977,473,358,312,213,128,324,2981,
I100105,C246820,Male,39,Food & Beverage,4,20.92,Debit Card,15-04-22,Kanyon,83.68,,,,,,,,,,,,
I100106,C850385,Male,36,Food & Beverage,2,10.46,Credit Card,12-09-21,Metropol AVM,20.92,,5.Shopping distribution accroding to age,,,,6.Which age group bought more products,,,,,,
I100108,C331773,Female,45,Books,4,60.6,Credit Card,06-08-21,Cevahir AVM,242.4,,,,,,,,,,,,
I100111,C314731,Female,46,Clothing,3,900.24,Debit Card,13-09-22,Metrocity,2700.72,,Row Labels,Sum of quantity,,,Row Labels,Count of quantity,,,,,
I100113,C136435,Male,48,Clothing,1,300.08,Credit Card,31-01-21,Zorlu Center,300.08,,18,74,,,18,25,,,,,
I100116,C235320,Female,60,Cosmetics,3,121.98,Cash,18-11-22,Metropol AVM,365.94,,20,80,,,20,23,,,,,
I100126,C103405,Male,31,Clothing,3,900.24,Credit Card,26-03-22,Emaar Square Mall,2700.72,,22,78,,,21,23,,,,,
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,16-11-21,Cevahir AVM,1200.32,,26,89,,,22,23,,,,,
I100128,C168282,Female,23,Clothing,3,900.24,Credit Card,16-07-22,Istinye Park,2700.72,,30,79,,,26,26,,,,,
I100137,C233463,Male,35,Shoes,5,3000.85,Cash,16-05-21,Mall of Istanbul,15004.25,,39,76,,,35,24,,,,,
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-06-21,Mall of Istanbul,1200.32,,41,95,,,39,23,,,,,
I100142,C161659,Male,37,Clothing,4,1200.32,Debit Card,28-08-21,Metropol AVM,4801.28,,45,99,,,41,31,,,,,
I100145,C153189,Female,20,Clothing,5,1500.4,Debit Card,10-12-22,Kanyon,7502,,57,72,,,45,29,,,,,
I100146,C320745,Female,24,Shoes,4,2400.68,Credit Card,25-04-22,Emaar Square Mall,9602.72,,69,69,,,52,24,,,,,
I100148,C200488,Male,52,Shoes,4,2400.68,Cash,16-04-22,Zorlu Center,9602.72,,Grand Total,811,,,62,25,,,,,
I100149,C193896,Female,65,Food & Beverage,5,26.15,Cash,17-11-21,Mall of Istanbul,130.75,,,,,,65,23,,,,,
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-07-21,Kanyon,1200.32,,,,,,67,24,,,,,
I100152,C265676,Female,43,Shoes,5,3000.85,Credit Card,25-02-21,Mall of Istanbul,15004.25,,,,,,69,24,,,,,
I100155,C312476,Female,30,Food & Beverage,4,20.92,Credit Card,29-06-21,Metropol AVM,83.68,,,,,,Grand Total,347,,,,,
I100156,C462935,Female,69,Books,3,45.45,Credit Card,25-01-21,Metropol AVM,136.35,,,,,,,,,,,,
I100161,C262871,Female,30,Clothing,1,300.08,Cash,11-04-21,Kanyon,300.08,,,,,,,,,,,,
I100168,C135319,Male,43,Shoes,4,2400.68,Cash,15-11-21,Zorlu Center,9602.72,,,,,,,,,,,,
I100173,C190374,Female,69,Food & Beverage,1,5.23,Cash,18-05-21,Metropol AVM,5.23,,,,,,,,,,,,
I100174,C286570,Female,36,Clothing,1,300.08,Cash,07-12-21,Mall of Istanbul,300.08,,,,,,,,,,,,
I100181,C123341,Female,33,Clothing,5,1500.4,Cash,18-04-22,Metrocity,7502,,,,,,,,,,,,
I100184,C131276,Female,32,Cosmetics,2,81.32,Cash,18-09-22,Kanyon,162.64,,,,,,,,,,,,
I100186,C222236,Male,62,Clothing,1,300.08,Debit Card,30-01-23,Zorlu Center,300.08,,,,,,,,,,,,
I100187,C178869,Female,41,Food & Beverage,1,5.23,Credit Card,28-07-21,Metrocity,5.23,,,,,,,,,,,,
I100192,C161234,Male,57,Clothing,1,300.08,Debit Card,17-11-21,Mall of Istanbul,300.08,,,,,,,,,,,,
I100193,C149918,Male,34,Clothing,1,300.08,Debit Card,26-02-22,Istinye Park,300.08,,,,,,,,,,,,
I100195,C322199,Female,34,Food & Beverage,5,26.15,Debit Card,20-12-22,Mall of Istanbul,130.75,,,,,,,,,,,,
I100198,C136883,Female,58,Cosmetics,5,203.3,Credit Card,18-07-21,Cevahir AVM,1016.5,,,,,,,,,,,,
I100199,C275614,Female,31,Books,5,75.75,Cash,25-02-22,Istinye Park,378.75,,,,,,,,,,,,
I100200,C948033,Male,24,Toys,4,143.36,Cash,28-07-21,Metrocity,573.44,,,,,,,,,,,,
I100201,C982027,Male,57,Souvenir,5,58.65,Cash,20-03-21,Istinye Park,293.25,,,,,,,,,,,,
I100202,C182496,Male,45,Food & Beverage,4,20.92,Credit Card,20-11-22,Kanyon,83.68,,,,,,,,,,,,
I100205,C220151,Male,32,Clothing,5,1500.4,Credit Card,26-06-21,Istinye Park,7502,,,,,,,,,,,,
I100207,C452901,Male,22,Clothing,4,1200.32,Credit Card,19-04-21,Metrocity,4801.28,,,,,,,,,,,,
I100211,C239527,Female,59,Clothing,2,600.16,Debit Card,10-02-21,Metrocity,1200.32,,,,,,,,,,,,
I100212,C282695,Female,60,Souvenir,3,35.19,Credit Card,31-08-21,Kanyon,105.57,,,,,,,,,,,,
I100214,C989972,Female,42,Clothing,3,900.24,Cash,06-03-22,Istinye Park,2700.72,,,,,,,,,,,,
I100215,C198589,Male,27,Shoes,3,1800.51,Debit Card,12-04-21,Mall of Istanbul,5401.53,,,,,,,,,,,,
I100216,C145243,Male,27,Cosmetics,1,40.66,Cash,09-03-22,Mall of Istanbul,40.66,,,,,,,,,,,,
I100218,C205490,Male,37,Food & Beverage,1,5.23,Cash,15-10-22,Kanyon,5.23,,,,,,,,,,,,
I100220,C122251,Male,25,Clothing,5,1500.4,Cash,26-05-21,Mall of Istanbul,7502,,,,,,,,,,,,
I100223,C212702,Female,45,Shoes,5,3000.85,Credit Card,21-11-22,Metrocity,15004.25,,,,,,,,,,,,
I100225,C128382,Male,44,Cosmetics,3,121.98,Credit Card,12-10-22,Istinye Park,365.94,,,,,,,,,,,,
I100227,C364271,Female,67,Toys,3,107.52,Cash,13-05-22,Metrocity,322.56,,,,,,,,,,,,
I100228,C248381,Male,42,Clothing,2,600.16,Cash,21-02-23,Mall of Istanbul,1200.32,,,,,,,,,,,,
I100229,C397160,Male,27,Cosmetics,4,162.64,Debit Card,28-02-23,Mall of Istanbul,650.56,,,,,,,,,,,,
I100231,C274640,Female,67,Technology,1,1050,Debit Card,19-07-21,Metropol AVM,1050,,,,,,,,,,,,
I100240,C240922,Female,22,Cosmetics,3,121.98,Credit Card,20-10-22,Cevahir AVM,365.94,,,,,,,,,,,,
I100243,C332855,Female,42,Clothing,1,300.08,Cash,12-01-23,Kanyon,300.08,,,,,,,,,,,,
I100249,C209647,Male,40,Clothing,5,1500.4,Credit Card,19-12-22,Kanyon,7502,,,,,,,,,,,,
I100251,C228482,Female,36,Souvenir,4,46.92,Cash,29-05-22,Metropol AVM,187.68,,,,,,,,,,,,
I100261,C315632,Female,41,Cosmetics,2,81.32,Credit Card,03-03-23,Mall of Istanbul,162.64,,,,,,,,,,,,
I100267,C299948,Female,57,Cosmetics,4,162.64,Debit Card,11-12-22,Kanyon,650.56,,,,,,,,,,,,
I100271,C892772,Male,37,Toys,4,143.36,Debit Card,13-02-21,Metrocity,573.44,,,,,,,,,,,,
I100273,C291963,Female,67,Toys,5,179.2,Cash,10-05-21,Cevahir AVM,896,,,,,,,,,,,,
I100281,C711548,Male,39,Toys,1,35.84,Debit Card,28-06-21,Kanyon,35.84,,,,,,,,,,,,
I100282,C836957,Male,45,Clothing,3,900.24,Cash,30-07-22,Viaport Outlet,2700.72,,,,,,,,,,,,
I100284,C174674,Female,66,Clothing,2,600.16,Credit Card,13-08-22,Kanyon,1200.32,,,,,,,,,,,,
I100288,C435081,Female,33,Food & Beverage,3,15.69,Credit Card,13-02-22,Kanyon,47.07,,,,,,,,,,,,
I100290,C118172,Male,45,Cosmetics,3,121.98,Credit Card,24-12-21,Mall of Istanbul,365.94,,,,,,,,,,,,
I100291,C832260,Male,18,Clothing,5,1500.4,Debit Card,03-08-21,Istinye Park,7502,,,,,,,,,,,,
I100292,C721616,Female,21,Clothing,2,600.16,Cash,16-08-22,Mall of Istanbul,1200.32,,,,,,,,,,,,
I100293,C991830,Female,28,Food & Beverage,3,15.69,Cash,28-11-22,Kanyon,47.07,,,,,,,,,,,,
I100294,C277127,Male,52,Food & Beverage,3,15.69,Cash,12-12-22,Istinye Park,47.07,,,,,,,,,,,,
I100299,C179079,Male,19,Clothing,5,1500.4,Cash,30-09-22,Mall of Istanbul,7502,,,,,,,,,,,,
I100301,C553904,Female,20,Clothing,4,1200.32,Credit Card,20-08-21,Mall of Istanbul,4801.28,,,,,,,,,,,,
I100307,C887007,Female,58,Clothing,3,900.24,Credit Card,24-01-22,Kanyon,2700.72,,,,,,,,,,,,
I100308,C104593,Male,18,Food & Beverage,1,5.23,Cash,11-07-22,Mall of Istanbul,5.23,,,,,,,,,,,,
I100310,C183161,Female,46,Cosmetics,4,162.64,Cash,22-04-22,Mall of Istanbul,650.56,,,,,,,,,,,,
I100311,C115462,Female,55,Clothing,4,1200.32,Cash,20-04-22,Zorlu Center,4801.28,,,,,,,,,,,,
I100312,C280934,Male,34,Food & Beverage,2,10.46,Credit Card,29-10-22,Emaar Square Mall,20.92,,,,,,,,,,,,
I100313,C144410,Female,64,Cosmetics,4,162.64,Cash,17-11-22,Metrocity,650.56,,,,,,,,,,,,
I100315,C242277,Female,30,Cosmetics,3,121.98,Debit Card,04-08-21,Emaar Square Mall,365.94,,,,,,,,,,,,
I100316,C248553,Male,40,Shoes,2,1200.34,Cash,13-12-22,Cevahir AVM,2400.68,,,,,,,,,,,,
I100320,C152872,Female,21,Clothing,2,600.16,Cash,10-10-22,Emaar Square Mall,1200.32,,,,,,,,,,,,
I100321,C113910,Female,59,Toys,2,71.68,Credit Card,23-05-22,Forum Istanbul,143.36,,,,,,,,,,,,
